threshold,f1,accuracy,precision,recall,fpr,fnr,TP,TN,FP,FN
0.7050000000000002,0.17827298050139276,0.28743961352657005,1.0,0.09785932721712538,0.0,0.9021406727828746,32,87,0,295
0.7100000000000002,0.12607449856733524,0.2632850241545894,1.0,0.0672782874617737,0.0,0.9327217125382263,22,87,0,305
0.7150000000000002,0.10434782608695652,0.2536231884057971,1.0,0.05504587155963303,0.0,0.944954128440367,18,87,0,309
0.7200000000000002,0.05934718100890208,0.23429951690821257,1.0,0.03058103975535168,0.0,0.9694189602446484,10,87,0,317
0.7250000000000002,0.041916167664670656,0.22705314009661837,1.0,0.021406727828746176,0.0,0.9785932721712538,7,87,0,320
0.7300000000000002,0.030120481927710843,0.2222222222222222,1.0,0.01529051987767584,0.0,0.9847094801223242,5,87,0,322
0.7350000000000002,0.02416918429003021,0.21980676328502416,1.0,0.012232415902140673,0.0,0.9877675840978594,4,87,0,323
0.7400000000000002,0.02416918429003021,0.21980676328502416,1.0,0.012232415902140673,0.0,0.9877675840978594,4,87,0,323
0.7450000000000002,0.018181818181818184,0.21739130434782608,1.0,0.009174311926605505,0.0,0.9908256880733946,3,87,0,324
0.7500000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7550000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7600000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7650000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7700000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7750000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7800000000000002,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7850000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7900000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.7950000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8000000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8050000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8100000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8150000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8200000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8250000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8300000000000003,0.006097560975609756,0.21256038647342995,1.0,0.0030581039755351682,0.0,0.9969418960244648,1,87,0,326
0.8350000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8400000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8450000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8500000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8550000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8600000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8650000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8700000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8750000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8800000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8850000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8900000000000003,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.8950000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9000000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9050000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9100000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9150000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9200000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9250000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9300000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9350000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9400000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9450000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9500000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9550000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9600000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9650000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9700000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9750000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9800000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9850000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9900000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.9950000000000004,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
0.999,0.0,0.21014492753623187,0.0,0.0,0.0,1.0,0,87,0,327
